Train samples: 2872 | Eval samples: 500 | num_domains=7
start training 0
[Epoch 0] Step 2720 | Triplet: 0.3838 | Domain: 1.5732 | Total: 1.9571
[Epoch 0] Step 2760 | Triplet: 0.0000 | Domain: 1.7773 | Total: 1.7773
[Epoch 0] Step 2800 | Triplet: 1.2946 | Domain: 2.1113 | Total: 3.4060
[Epoch 0] Step 2840 | Triplet: 0.0000 | Domain: 2.0742 | Total: 2.0742
start training 1
[Epoch 1] Step 2880 | Triplet: 0.9198 | Domain: 1.9346 | Total: 2.8544
[Epoch 1] Step 2920 | Triplet: 0.0000 | Domain: 1.8389 | Total: 1.8389
[Epoch 1] Step 2960 | Triplet: 0.4883 | Domain: 2.0938 | Total: 2.5821
[Epoch 1] Step 3000 | Triplet: 0.0000 | Domain: 2.1758 | Total: 2.1758
[Epoch 1] Step 3040 | Triplet: 0.3137 | Domain: 1.7979 | Total: 2.1116
[Epoch 1] Step 3080 | Triplet: 0.0000 | Domain: 1.7480 | Total: 1.7480
[Epoch 1] Step 3120 | Triplet: 0.0000 | Domain: 2.1719 | Total: 2.1719
[Epoch 1] Step 3160 | Triplet: 0.0000 | Domain: 1.9258 | Total: 1.9258
[Epoch 1] Step 3200 | Triplet: 0.0000 | Domain: 1.5977 | Total: 1.5977
[Epoch 1] Step 3240 | Triplet: 0.0000 | Domain: 2.0000 | Total: 2.0000
[Epoch 1] Step 3280 | Triplet: 1.0930 | Domain: 1.6904 | Total: 2.7834
[Epoch 1] Step 3320 | Triplet: 0.0000 | Domain: 2.2812 | Total: 2.2812
[Epoch 1] Step 3360 | Triplet: 0.4510 | Domain: 1.9404 | Total: 2.3915
[Epoch 1] Step 3400 | Triplet: 0.0000 | Domain: 1.7803 | Total: 1.7803
[Epoch 1] Step 3440 | Triplet: 0.6445 | Domain: 1.9619 | Total: 2.6064
[Epoch 1] Step 3480 | Triplet: 0.2110 | Domain: 1.9023 | Total: 2.1134
[Epoch 1] Step 3520 | Triplet: 0.0000 | Domain: 2.1914 | Total: 2.1914
[Epoch 1] Step 3560 | Triplet: 0.0000 | Domain: 1.8027 | Total: 1.8027
[Epoch 1] Step 3600 | Triplet: 0.6305 | Domain: 1.9961 | Total: 2.6266
[Epoch 1] Step 3640 | Triplet: 0.3007 | Domain: 2.1250 | Total: 2.4257
[Epoch 1] Step 3680 | Triplet: 0.5481 | Domain: 1.6562 | Total: 2.2044
[Epoch 1] Step 3720 | Triplet: 0.4342 | Domain: 2.0254 | Total: 2.4596
[Epoch 1] Step 3760 | Triplet: 0.2799 | Domain: 1.8643 | Total: 2.1441
[Epoch 1] Step 3800 | Triplet: 0.0000 | Domain: 2.1621 | Total: 2.1621
[Epoch 1] Step 3840 | Triplet: 0.5064 | Domain: 1.8506 | Total: 2.3570
[Epoch 1] Step 3880 | Triplet: 0.0000 | Domain: 2.1211 | Total: 2.1211
[Epoch 1] Step 3920 | Triplet: 0.0000 | Domain: 2.2090 | Total: 2.2090
[Epoch 1] Step 3960 | Triplet: 0.1280 | Domain: 1.8818 | Total: 2.0098
[Epoch 1] Step 4000 | Triplet: 0.0000 | Domain: 2.1289 | Total: 2.1289
